Stock_Code,Stock_Name,Stock_Code1,Stock_Name1,Start_Date
600461,  ????????,600461,  ????????,  2004-06-01
600462,  ST????,600462,  ST????,  2003-09-03
600463,  ????????,600463,  ????????,  2004-03-18
600466,  ????????,600466,  ????????,  2001-02-12
600467,  ??????,600467,  ??????,  2004-04-05
600468,  ????????,600468,  ????????,  2001-06-15
600469,  ????????,600469,  ????????,  2003-10-21
600470,  ????????,600470,  ????????,  2004-03-05
600475,  ????????,600475,  ????????,  2003-07-21
600476,  ????????,600476,  ????????,  2003-12-10
600477,  ????????,600477,  ????????,  2003-11-10
600478,  ??????,600478,  ??????,  2003-09-18
600479,  ????????,600479,  ????????,  2004-03-12
600480,  ????????,600480,  ????????,  2003-08-15
600481,  ????????,600481,  ????????,  2003-04-22
600482,  ????????,600482,  ????????,  2004-07-14
600483,  ????????,600483,  ????????,  2004-05-31
600486,  ????????,600486,  ????????,  2002-04-25
600487,  ????????,600487,  ????????,  2003-08-22
600488,  ????????,600488,  ????????,  2001-06-18
600489,  ????????,600489,  ????????,  2003-08-14
600490,  ????????,600490,  ????????,  2003-06-26
600491,  ????????,600491,  ????????,  2004-05-24
600493,  ????????,600493,  ????????,  2004-04-21
600495,  ????????,600495,  ????????,  2004-05-26
600496,  ????????,600496,  ????????,  2002-06-05
600497,  ????????,600497,  ????????,  2004-04-20
600498,  ????????,600498,  ????????,  2001-08-23
600499,  ????????,600499,  ????????,  2002-10-10
600500,  ????????,600500,  ????????,  2000-03-01
600501,  ????????,600501,  ????????,  2001-06-15
600502,  ????????,600502,  ????????,  2003-04-15
600503,  ????????,600503,  ????????,  2002-07-09
600505,  ????????,600505,  ????????,  2002-05-30
600506,  *ST????,600506,  *ST????,  2001-12-26
600507,  ????????,600507,  ????????,  2003-09-30
600508,  ????????,600508,  ????????,  2001-08-29
600509,  ????????,600509,  ????????,  2002-02-28
600510,  ??????,600510,  ??????,  2002-06-18
600511,  ????????,600511,  ????????,  2002-11-27
600512,  ????????,600512,  ????????,  2002-12-26
600513,  ????????,600513,  ????????,  2003-03-19
600515,  *ST????,600515,  *ST????,  2002-08-06
600516,  ????????,600516,  ????????,  2002-08-30
600517,  ????????,600517,  ????????,  2003-10-10
600518,  *ST????,600518,  *ST????,  2001-03-19
600519,  ????????,600519,  ????????,  2001-08-27
600520,  ????????,600520,  ????????,  2002-01-08
600521,  ????????,600521,  ????????,  2003-03-04
600522,  ????????,600522,  ????????,  2002-10-24
600523,  ????????,600523,  ????????,  2001-12-27
600525,  ????????,600525,  ????????,  2002-12-02
600526,  ????????,600526,  ????????,  2002-07-22
600527,  ????????,600527,  ????????,  2003-11-27
600528,  ????????,600528,  ????????,  2001-05-28
600529,  ????????,600529,  ????????,  2002-06-03
600530,  ????????,600530,  ????????,  2001-07-02
600531,  ????????,600531,  ????????,  2002-07-30
600532,  ????????,600532,  ????????,  2002-10-31
600533,  ????????,600533,  ????????,  2002-03-28
600535,  ??????,600535,  ??????,  2002-08-23
600536,  ????????,600536,  ????????,  2002-05-17
600537,  ????????,600537,  ????????,  2003-01-23
600538,  ????????,600538,  ????????,  2003-01-14
600539,  ????????,600539,  ????????,  2001-08-24
600540,  ????????,600540,  ????????,  2004-01-07
600543,  ????????,600543,  ????????,  2004-03-24
600545,  ????????,600545,  ????????,  2003-12-03
600546,  ????????,600546,  ????????,  2003-07-31
600547,  ????????,600547,  ????????,  2003-08-28
600548,  ??????,600548,  ??????,  2001-12-25
600549,  ????????,600549,  ????????,  2002-11-07
